class_code,roll_no,exam_type,subject,obtained_marks,maximum_marks
10A,1,Final Exam,Mathematics,85,100
10A,1,Final Exam,Science,78,100
10A,1,Final Exam,English,92,100
10A,1,Final Exam,History,76,100
10A,1,Final Exam,Geography,88,100
10A,123456,Final Exam,Mathematics,76,100
10A,123456,Final Exam,Science,88,100
10A,123456,Final Exam,English,81,100
10A,123456,Final Exam,History,79,100
10A,123456,Final Exam,Geography,85,100
10B,45,Final Exam,Mathematics,92,100
10B,45,Final Exam,Science,95,100
10B,45,Final Exam,English,89,100
10B,45,Final Exam,History,84,100
10B,45,Final Exam,Geography,91,100
10B,789,Final Exam,Mathematics,68,100
10B,789,Final Exam,Science,72,100
10B,789,Final Exam,English,65,100
10B,789,Final Exam,History,70,100
10B,789,Final Exam,Geography,75,100
9A,12,Mid Term,Mathematics,80,80
9A,12,Mid Term,Science,75,80
9A,12,Mid Term,English,78,80
9A,12,Mid Term,History,72,80
9A,12,Mid Term,Geography,76,80
9A,3456,Mid Term,Mathematics,70,80
9A,3456,Mid Term,Science,68,80
9A,3456,Mid Term,English,74,80
9A,3456,Mid Term,History,65,80
9A,3456,Mid Term,Geography,71,80
9B,89,Unit Test,Mathematics,45,50
9B,89,Unit Test,Science,48,50
9B,89,Unit Test,English,46,50
9B,89,Unit Test,History,44,50
9B,89,Unit Test,Geography,47,50
9B,1234,Unit Test,Mathematics,38,50
9B,1234,Unit Test,Science,42,50
9B,1234,Unit Test,English,40,50
9B,1234,Unit Test,History,35,50
9B,1234,Unit Test,Geography,39,50
